SampleID,Animal,Fossil,Common_name,Order,Family,Species,Location,PopID,Date,Year,Data_set,Mass,Length,Sex,Age,Maturity,d13Coto,d18Ooto,d18Ow,d13CDIC,d13Cdiet
AABA 002,Fish,N,Ballan,Labriformes,Labridae,Labrus_bergylta,Skye,LB_Skye,09/02/2024,2024,Wrasse,56.92877806,15,NA,NA,NA,-5.19,1.07,0,-1,-17.11
AABA 004,Fish,N,Ballan,Labriformes,Labridae,Labrus_bergylta,Skye,LB_Skye,09/02/2024,2024,Wrasse,76.5328473,16.5,NA,NA,NA,-5.21,1.25,0,-1,-17.11
AABA 005,Fish,N,Ballan,Labriformes,Labridae,Labrus_bergylta,Skye,LB_Skye,09/02/2024,2024,Wrasse,56.92877806,15,NA,NA,NA,-4.68,0.89,0,-1,-17.11
AABA 006,Fish,N,Ballan,Labriformes,Labridae,Labrus_bergylta,Skye,LB_Skye,09/02/2024,2024,Wrasse,139.0726248,20,NA,NA,NA,-5.03,1.58,0,-1,-17.11
AABA 007,Fish,N,Ballan,Labriformes,Labridae,Labrus_bergylta,Skye,LB_Skye,09/02/2024,2024,Wrasse,353.1034297,27,NA,NA,NA,-3.81,1.52,0,-1,-17.11
AABA 009,Fish,N,Ballan,Labriformes,Labridae,Labrus_bergylta,Skye,LB_Skye,09/02/2024,2024,Wrasse,261.1479252,24.5,NA,NA,NA,-3.77,1.37,0,-1,-17.11
AABA 011,Fish,N,Ballan,Labriformes,Labridae,Labrus_bergylta,Skye,LB_Skye,09/02/2024,2024,Wrasse,174.0839175,21.5,NA,NA,NA,-4.24,1.36,0,-1,-17.11
AABA 013,Fish,N,Ballan,Labriformes,Labridae,Labrus_bergylta,Skye,LB_Skye,09/02/2024,2024,Wrasse,161.8192512,21,NA,NA,NA,-3.91,1.69,0,-1,-17.11
AABA 015,Fish,N,Ballan,Labriformes,Labridae,Labrus_bergylta,Skye,LB_Skye,09/02/2024,2024,Wrasse,214.6329063,23,NA,NA,NA,-3.95,1.61,0,-1,-17.11
AABA 023,Fish,N,Ballan,Labriformes,Labridae,Labrus_bergylta,Skye,LB_Skye,09/02/2024,2024,Wrasse,174.0839175,21.5,NA,NA,NA,-3.88,1.72,0,-1,-17.11
AABA 024,Fish,N,Ballan,Labriformes,Labridae,Labrus_bergylta,Skye,LB_Skye,09/02/2024,2024,Wrasse,278.0531759,25,NA,NA,NA,-2.01,1.6,0,-1,-17.11
AABA 027,Fish,N,Ballan,Labriformes,Labridae,Labrus_bergylta,Skye,LB_Skye,09/02/2024,2024,Wrasse,395.3119807,28,NA,NA,NA,-3.67,1.44,0,-1,-17.11
AABA 029,Fish,N,Ballan,Labriformes,Labridae,Labrus_bergylta,Skye,LB_Skye,09/02/2024,2024,Wrasse,395.3119807,28,NA,NA,NA,-3.68,1.71,0,-1,-17.11
AABA 030,Fish,N,Ballan,Labriformes,Labridae,Labrus_bergylta,Skye,LB_Skye,09/02/2024,2024,Wrasse,353.1034297,27,NA,NA,NA,-2.9,1.58,0,-1,-17.11
